vehicle_id,from_grid_id,to_grid_id,distance_km,travel_time_min
truck_03,500m_r010_c008,500m_r010_c010,0.998862196305365,2.72416962628736
truck_03,500m_r010_c010,500m_r011_c012,1.11675084914154,3.04568413402238
truck_03,500m_r011_c012,500m_r011_c014,0.998829699454662,2.72408099851272
truck_03,500m_r011_c014,500m_r011_c015,0.499414849792688,1.3620404994346
truck_03,500m_r011_c015,DEPOT,0.789653797349335,2.15360126549819
truck_04,DEPOT,500m_r010_c018,0.789665358269867,2.15363279528145
truck_04,500m_r010_c018,500m_r010_c019,0.499431098218016,1.36208481332186
truck_04,500m_r010_c019,500m_r010_c020,0.499431098219476,1.36208481332584
truck_04,500m_r010_c020,500m_r010_c021,0.499431098218016,1.36208481332186
truck_04,500m_r010_c021,500m_r010_c022,0.499431098218016,1.36208481332186
truck_04,500m_r010_c022,500m_r010_c024,0.998862196305365,2.72416962628736
truck_04,500m_r010_c024,500m_r010_c025,0.499431098218016,1.36208481332186
truck_04,500m_r010_c025,500m_r011_c024,0.70630201603704,1.92627822555556
truck_04,500m_r011_c024,500m_r011_c023,0.499414849792688,1.3620404994346
truck_04,500m_r011_c023,500m_r011_c022,0.499414849794147,1.36204049943858
truck_04,500m_r011_c022,500m_r011_c021,0.499414849792688,1.3620404994346
truck_04,500m_r011_c021,500m_r010_c020,0.70630201603704,1.92627822555556
truck_04,500m_r010_c020,500m_r010_c019,0.499431098219476,1.36208481332584
truck_04,500m_r010_c019,500m_r010_c018,0.499431098218016,1.36208481332186
truck_04,500m_r010_c018,500m_r010_c017,0.499431098218016,1.36208481332186
truck_04,500m_r010_c017,500m_r010_c016,0.499431098219476,1.36208481332584
truck_04,500m_r010_c016,500m_r009_c015,0.706313504234034,1.92630955700191
truck_04,500m_r009_c015,500m_r008_c014,0.706324990447011,1.9263408830373
truck_04,500m_r008_c014,500m_r008_c012,0.998927171591425,2.72434683161298
truck_04,500m_r008_c012,500m_r008_c011,0.49946358586246,1.36217341598853
truck_04,500m_r008_c011,500m_r009_c010,0.706324990447011,1.9263408830373
truck_04,500m_r009_c010,500m_r010_c009,0.706313504234034,1.92630955700191
truck_04,500m_r010_c009,500m_r011_c007,1.11675084914154,3.04568413402238
truck_04,500m_r011_c007,500m_r013_c006,1.11676133619709,3.04571273508297
truck_04,500m_r013_c006,500m_r013_c007,0.499382343734857,1.36195184654961
truck_04,500m_r013_c007,500m_r015_c009,1.41252358254782,3.85233704331223
truck_04,500m_r015_c009,500m_r015_c012,1.49804947567642,4.0855894791175
truck_04,500m_r015_c012,500m_r014_c012,0.499438915889188,1.36210613424324
truck_04,500m_r014_c012,500m_r012_c012,0.99887783177798,2.7242122684854
truck_04,500m_r012_c012,500m_r011_c012,0.499438915889188,1.36210613424324
truck_04,500m_r011_c012,500m_r010_c012,0.499438915888793,1.36210613424216
truck_04,500m_r010_c012,500m_r008_c012,0.99887783177798,2.7242122684854
truck_04,500m_r008_c012,500m_r007_c013,0.706336474676903,1.92637220366428
truck_04,500m_r007_c013,500m_r008_c014,0.706336474677935,1.92637220366709
truck_04,500m_r008_c014,500m_r009_c014,0.499438915888793,1.36210613424216
truck_04,500m_r009_c014,500m_r011_c014,0.99887783177798,2.7242122684854
truck_04,500m_r011_c014,500m_r012_c014,0.499438915889188,1.36210613424324
truck_04,500m_r012_c014,500m_r011_c015,0.706290525857331,1.92624688870181
truck_04,500m_r011_c015,DEPOT,0.789653797349335,2.15360126549819
truck_05,DEPOT,500m_r010_c018,0.789665358269867,2.15363279528145
truck_05,500m_r010_c018,500m_r009_c019,0.706313504234034,1.92630955700191
truck_05,500m_r009_c019,500m_r008_c021,1.11680897030175,3.04584264627749
truck_05,500m_r008_c021,500m_r009_c019,1.11680897030175,3.04584264627749
truck_05,500m_r009_c019,500m_r008_c018,0.706324990447011,1.9263408830373
truck_05,500m_r008_c018,500m_r006_c019,1.11679766193521,3.04581180527786
truck_05,500m_r006_c019,500m_r004_c020,1.1168121839441,3.04585141075665
truck_05,500m_r004_c020,500m_r005_c017,1.57959646260768,4.3079903525664
truck_05,500m_r005_c017,500m_r004_c016,0.706370915463051,1.92646613308105
truck_05,500m_r004_c016,500m_r003_c015,0.706382391754919,1.92649743205887
truck_05,500m_r003_c015,500m_r005_c015,0.99887783177798,2.7242122684854
truck_05,500m_r005_c015,500m_r007_c015,0.99887783177798,2.7242122684854
truck_05,500m_r007_c015,500m_r009_c015,0.99887783177798,2.7242122684854
