grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
200m_r034_c062__v01,3,3,0,0
200m_r034_c067__v01,5,5,0,0
200m_r034_c068__v01,6,6,0,0
200m_r034_c069__v01,3,3,0,0
200m_r034_c076__v01,4,4,0,0
200m_r035_c020__v01,4,4,0,0
200m_r035_c029__v01,4,4,0,0
200m_r035_c030__v01,0,0,0,3
200m_r035_c031__v01,4,4,0,0
200m_r035_c032__v01,5,5,0,0
200m_r035_c033__v01,0,0,0,3
200m_r035_c035__v01,0,0,0,3
200m_r035_c055__v01,3,3,0,0
200m_r035_c059__v01,3,3,0,0
200m_r035_c060__v01,3,3,0,0
200m_r035_c061__v01,4,4,0,0
200m_r035_c063__v01,6,6,0,0
200m_r035_c064__v01,4,4,0,0
200m_r035_c065__v01,0,0,0,4
200m_r035_c066__v01,4,4,0,0
200m_r035_c067__v01,7,0,7,0
200m_r035_c068__v01,11,0,11,0
200m_r036_c001__v01,0,0,0,3
200m_r036_c032__v01,0,0,0,4
200m_r036_c033__v01,6,6,0,0
200m_r036_c045__v01,0,0,0,17
200m_r036_c046__v01,0,0,0,14
200m_r036_c047__v01,0,0,0,12
200m_r036_c047__v02,0,0,0,11
200m_r036_c053__v01,0,0,0,3
200m_r036_c061__v01,3,3,0,0
200m_r036_c063__v01,10,0,10,0
200m_r036_c064__v01,6,6,0,0
200m_r036_c065__v01,0,0,0,5
200m_r036_c066__v01,0,0,0,12
200m_r036_c067__v01,0,0,0,7
200m_r037_c021__v01,4,4,0,0
200m_r037_c031__v01,13,0,13,0
200m_r037_c032__v01,5,5,0,0
200m_r037_c033__v01,5,5,0,0
200m_r037_c037__v01,9,0,9,0
200m_r037_c047__v01,0,0,0,14
200m_r037_c060__v01,0,0,0,5
200m_r037_c062__v01,4,4,0,0
200m_r037_c065__v01,0,0,0,7
200m_r037_c067__v01,3,3,0,0
200m_r037_c068__v01,0,0,0,4
200m_r037_c069__v01,4,4,0,0
200m_r037_c074__v01,0,0,0,4
200m_r037_c076__v01,0,0,0,4
200m_r038_c001__v01,9,0,9,0
200m_r038_c002__v01,4,4,0,0
200m_r038_c025__v01,0,0,0,6
200m_r038_c029__v01,0,0,0,5
200m_r038_c030__v01,4,4,0,0
200m_r038_c034__v01,0,0,0,4
200m_r038_c037__v01,3,3,0,0
200m_r038_c043__v01,0,0,0,5
200m_r038_c058__v01,3,3,0,0
200m_r038_c060__v01,0,0,0,3
200m_r038_c062__v01,3,3,0,0
200m_r038_c064__v01,0,0,0,5
200m_r038_c065__v01,0,0,0,12
200m_r038_c065__v02,0,0,0,11
200m_r038_c066__v01,0,0,0,7
200m_r038_c067__v01,5,5,0,0
200m_r038_c068__v01,4,4,0,0
200m_r038_c074__v01,0,0,0,3
200m_r038_c076__v01,7,7,0,0
200m_r038_c077__v01,3,3,0,0
200m_r039_c000__v01,4,4,0,0
200m_r039_c029__v01,8,0,8,0
200m_r039_c040__v01,10,0,10,0
200m_r039_c044__v01,5,5,0,0
200m_r039_c045__v01,4,4,0,0
200m_r039_c059__v01,0,0,0,4
200m_r039_c063__v01,3,3,0,0
200m_r039_c064__v01,0,0,0,4
200m_r039_c065__v01,0,0,0,11
200m_r039_c065__v02,0,0,0,10
200m_r039_c066__v01,0,0,0,19
200m_r039_c070__v01,8,0,8,0
200m_r039_c072__v01,7,7,0,0
200m_r040_c029__v01,0,0,0,7
200m_r040_c031__v01,5,5,0,0
200m_r040_c032__v01,3,3,0,0
200m_r040_c037__v01,0,0,0,4
200m_r040_c040__v01,3,3,0,0
200m_r040_c059__v01,4,4,0,0
200m_r040_c060__v01,0,0,0,4
200m_r040_c061__v01,0,0,0,5
200m_r040_c063__v01,0,0,0,6
200m_r040_c064__v01,6,6,0,0
200m_r040_c065__v01,0,0,0,9
200m_r040_c066__v01,0,0,0,6
200m_r040_c067__v01,0,0,0,5
200m_r040_c073__v01,5,5,0,0
200m_r040_c074__v01,3,3,0,0
200m_r041_c030__v01,0,0,0,4
200m_r041_c031__v01,0,0,0,3
200m_r041_c033__v01,3,3,0,0
200m_r041_c036__v01,4,4,0,0
200m_r041_c037__v01,0,0,0,7
200m_r041_c039__v01,12,0,12,0
200m_r041_c045__v01,0,0,0,4
200m_r041_c046__v01,0,0,0,3
200m_r041_c048__v01,3,3,0,0
200m_r041_c059__v01,0,0,0,3
200m_r041_c061__v01,0,0,0,4
200m_r041_c066__v01,7,0,7,0
200m_r041_c067__v01,4,4,0,0
200m_r041_c068__v01,11,0,11,0
200m_r041_c068__v02,11,0,11,0
200m_r041_c069__v01,8,0,8,0
200m_r041_c072__v01,0,0,0,6
200m_r042_c026__v01,4,4,0,0
200m_r042_c031__v01,0,0,0,4
200m_r042_c032__v01,7,7,0,0
200m_r042_c033__v01,7,0,7,0
200m_r042_c036__v01,3,3,0,0
200m_r042_c037__v01,6,6,0,0
200m_r042_c038__v01,4,4,0,0
200m_r042_c061__v01,3,3,0,0
200m_r042_c062__v01,3,3,0,0
200m_r042_c067__v01,3,3,0,0
200m_r042_c068__v01,12,0,12,0
200m_r042_c073__v01,8,0,8,0
200m_r043_c029__v01,4,4,0,0
200m_r043_c031__v01,3,3,0,0
200m_r043_c040__v01,0,0,0,4
200m_r043_c044__v01,9,0,9,0
200m_r043_c045__v01,3,3,0,0
200m_r043_c047__v01,11,0,11,0
200m_r043_c056__v01,4,4,0,0
200m_r043_c065__v01,8,0,8,0
200m_r043_c066__v01,0,0,0,4
200m_r043_c068__v01,7,7,0,0
200m_r043_c073__v01,4,4,0,0
200m_r043_c077__v01,6,6,0,0
200m_r044_c040__v01,16,1,15,0
200m_r044_c042__v01,0,0,0,3
200m_r044_c043__v01,0,0,0,4
200m_r044_c046__v01,6,6,0,0
200m_r044_c063__v01,3,3,0,0
200m_r044_c065__v01,13,0,13,0
200m_r044_c066__v01,5,5,0,0
200m_r044_c069__v01,7,7,0,0
200m_r044_c075__v01,0,0,0,6
200m_r044_c076__v01,0,0,0,9
200m_r045_c032__v01,0,0,0,15
200m_r045_c041__v01,0,0,0,11
200m_r045_c066__v01,8,8,0,0
200m_r045_c073__v01,0,0,0,3
200m_r045_c074__v01,0,0,0,4
200m_r045_c075__v01,0,0,0,3
200m_r045_c076__v01,0,0,0,7
200m_r046_c040__v01,0,0,0,5
200m_r046_c073__v01,0,0,0,13
200m_r046_c074__v01,0,0,0,5
200m_r047_c040__v01,0,0,0,5
200m_r047_c072__v01,3,3,0,0
200m_r047_c074__v01,4,4,0,0
200m_r047_c076__v01,4,4,0,0
200m_r048_c039__v01,0,0,0,8
200m_r049_c067__v01,0,0,0,7
200m_r049_c070__v01,0,0,0,3
200m_r049_c071__v01,3,3,0,0
